2021-06-28 15:36:52,524 INFO 1  - USBBootloaderHost: init logger
2021-06-28 15:36:52,534 INFO 1  - USBBootloaderHost: Received_data:005AA8FF0001030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:12,070 INFO 4  - USBBootloaderHost: OpenConnection retry....0
2021-06-28 15:37:12,075 INFO 4  - USBBootloaderHost: Received_data:005AA0FF0001030000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:14,096 INFO 4  - USBBootloaderHost: Received_data:005AA7FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:14,112 INFO 4  - USBBootloaderHost: Received_data:005AA1FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:16,954 INFO 4  - USBBootloaderHost: Received_data:005AA2FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:16,999 INFO 4  - USBBootloaderHost: Received_data_from single read:005AA3FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:17,003 INFO 4  - USBBootloaderHost: Received_data:005AA2FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:17,042 INFO 4  - USBBootloaderHost: Received_data_from single read:005AA3FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:17,096 INFO 4  - USBBootloaderHost: Received_data:005AA2FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:17,140 INFO 4  - USBBootloaderHost: Received_data_from single read:005AA3FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:17,149 INFO 4  - USBBootloaderHost: Received_data:005AA2FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:17,196 INFO 4  - USBBootloaderHost: Received_data_from single read:005AA3FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:17,218 INFO 4  - USBBootloaderHost: Received_data:005AA2FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2021-06-28 15:37:17,274 INFO 4  - USBBootloaderHost: Received_data_from single read:005AA3FF0000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
